"best_model_name","n","perc","Id"
"fits_baranyi_without_lag",21,43.8,"D11"
"fits_gompertz",13,27.1,"D11"
"fits_baranyi",6,12.5,"D11"
"fits_buchanan_without_lag",6,12.5,"D11"
"fits_buchanan",1,2.1,"D11"
NA,1,2.1,"D11"
"fits_baranyi_without_lag",25,52.1,"D14"
"fits_buchanan_without_lag",17,35.4,"D14"
"fits_gompertz",3,6.2,"D14"
NA,3,6.2,"D14"
"fits_baranyi_without_lag",15,31.2,"D17"
"fits_gompertz",15,31.2,"D17"
"fits_buchanan_without_lag",10,20.8,"D17"
"fits_baranyi",7,14.6,"D17"
"fits_buchanan",1,2.1,"D17"
"fits_baranyi_without_lag",23,47.9,"I11"
"fits_buchanan_without_lag",22,45.8,"I11"
"fits_gompertz",3,6.2,"I11"
"fits_baranyi_without_lag",43,89.6,"I15"
"fits_gompertz",3,6.2,"I15"
"fits_buchanan_without_lag",2,4.2,"I15"
"fits_baranyi_without_lag",36,75,"I18"
"fits_baranyi",4,8.3,"I18"
"fits_gompertz",4,8.3,"I18"
"fits_buchanan_without_lag",3,6.2,"I18"
NA,1,2.1,"I18"
"fits_baranyi_without_lag",38,79.2,"I2"
"fits_buchanan_without_lag",7,14.6,"I2"
"fits_gompertz",2,4.2,"I2"
"fits_baranyi",1,2.1,"I2"
"fits_baranyi_without_lag",46,95.8,"I20"
"fits_baranyi",2,4.2,"I20"
"fits_baranyi",17,35.4,"I22"
"fits_buchanan_without_lag",15,31.2,"I22"
"fits_baranyi_without_lag",9,18.8,"I22"
"fits_gompertz",7,14.6,"I22"
"fits_baranyi_without_lag",38,79.2,"I23"
"fits_buchanan_without_lag",5,10.4,"I23"
NA,3,6.2,"I23"
"fits_baranyi",1,2.1,"I23"
"fits_gompertz",1,2.1,"I23"
"fits_baranyi_without_lag",22,45.8,"I8"
"fits_buchanan_without_lag",12,25,"I8"
"fits_gompertz",7,14.6,"I8"
"fits_buchanan",6,12.5,"I8"
"fits_baranyi",1,2.1,"I8"
"fits_gompertz",29,60.4,"I9"
"fits_buchanan_without_lag",11,22.9,"I9"
"fits_baranyi",6,12.5,"I9"
"fits_baranyi_without_lag",2,4.2,"I9"
