contrast,estimate,SE,df,stat,p.adj,hedges_g,g_low,g_high
Control - Temp,0.916,0.116,72,7.913,0,3.502,2.62,4.384
Control - pHTemp,1.126,0.116,72,9.719,0,4.301,3.419,5.183
Control - SalTemp,0.745,0.116,72,6.429,0,2.845,1.963,3.727
Control - pHSalTemp,0.82,0.116,72,7.08,0,3.133,2.251,4.015
pH - Temp,0.698,0.116,72,6.026,0,2.667,1.784,3.549
pH - pHTemp,0.907,0.116,72,7.832,0,3.466,2.584,4.348
pH - pHSalTemp,0.601,0.116,72,5.193,0,2.298,1.416,3.18
Sal - Temp,0.778,0.116,72,6.718,0,2.973,2.091,3.855
Sal - pHTemp,0.987,0.116,72,8.525,0,3.773,2.89,4.655
Sal - SalTemp,0.606,0.116,72,5.235,0,2.317,1.434,3.199
Sal - pHSalTemp,0.682,0.116,72,5.885,0,2.604,1.722,3.487
Temp - pHSal,-0.694,0.116,72,-5.992,0,-2.652,-3.534,-1.77
pHSal - pHTemp,0.903,0.116,72,7.799,0,3.451,2.569,4.334
pHSal - pHSalTemp,0.598,0.116,72,5.159,0,2.283,1.401,3.165
pH - SalTemp,0.526,0.116,72,4.542,0.001,2.01,1.128,2.892
pHSal - SalTemp,0.522,0.116,72,4.509,0.001,1.995,1.113,2.878
pHTemp - SalTemp,-0.381,0.116,72,-3.29,0.032,-1.456,-2.338,-0.574
pHTemp - pHSalTemp,-0.306,0.116,72,-2.64,0.159,-1.168,-2.05,-0.286
Control - pHSal,0.222,0.116,72,1.92,0.542,0.85,-0.032,1.732
Control - pH,0.219,0.116,72,1.887,0.564,0.835,-0.047,1.717
Temp - pHTemp,0.209,0.116,72,1.807,0.618,0.799,-0.083,1.682
Temp - SalTemp,-0.172,0.116,72,-1.484,0.814,-0.657,-1.539,0.226
Control - Sal,0.138,0.116,72,1.195,0.931,0.529,-0.354,1.411
Temp - pHSalTemp,-0.096,0.116,72,-0.833,0.991,-0.369,-1.251,0.514
Sal - pHSal,0.084,0.116,72,0.726,0.996,0.321,-0.561,1.203
pH - Sal,-0.08,0.116,72,-0.693,0.997,-0.306,-1.189,0.576
SalTemp - pHSalTemp,0.075,0.116,72,0.651,0.998,0.288,-0.594,1.17
pH - pHSal,0.004,0.116,72,0.033,1,0.015,-0.867,0.897
